3P,2P,TRB,AST,STL,BLK,Pos
1.4,0.6,1.3,0.6,0.5,0.1,SG
0,4.7,7.7,1.1,1.1,1,C
0,2.3,4.5,0.3,0.5,0.6,C
0,0.8,2.6,0.4,0.4,0.6,C
1.5,3.5,4.3,3.4,0.8,0.5,SG
1.8,3.4,6.2,5.9,1.1,0.4,SG
2.9,5.4,3.1,3.5,1.1,0.3,SG
1.4,2.2,2.4,2,0.6,0.1,SG
1.6,1.8,5.9,4.2,1.5,0.4,SG
0,2.2,7,0.9,0.3,1.1,C
0,2.2,5.1,0.6,0.4,0.7,C
0,1.4,8.1,1.8,0.5,0.9,C
1.9,5.9,3.2,3.4,0.9,0.3,SG
2,4.6,6.1,2.2,1.2,0.2,SG
2,2.9,3.3,2.5,1.2,0.2,SG
0,5.6,8.1,1,0.5,1.2,C
0,3.4,4.5,1.1,0.7,0.6,C
1.4,4.4,3,2.6,1.1,0.1,SG
1.8,7.2,11,4.6,1.4,1.3,C
1.7,2.1,2.9,1.2,0.7,0.3,SG
1.4,3,1.6,2.6,0.7,0.2,SG
1.9,3.6,1.8,3,0.6,0.1,SG
2.1,0.7,1.5,0.7,0.3,0.1,SG
0.5,9.7,11.8,2.1,1.3,2.2,C
0,2.1,6.5,0.6,0.5,0.8,C
0,5.9,13.8,1.1,1.5,1.1,C
2.4,1.3,2.1,1.1,0.6,0.1,SG
1.2,5.3,7.8,2.1,0.9,2.5,C
1.9,4.1,3.1,3,1,0.1,SG
1.9,1.4,3.9,0.6,0.4,0.5,C
1.4,5.8,6.3,4.6,0.9,1.3,C
0.9,3.9,7.8,2.3,0.4,1.1,C
1.3,1.2,2.3,2.7,1.2,0.2,SG
0,5.1,12.8,1.2,0.6,2.6,C
3.3,2.2,2.7,2.5,0.6,0.5,SG
0,4.8,10.4,1.5,0.5,0.7,C
1.7,0.9,3.3,1.8,1,0.8,SG
0.9,1.9,4.1,0.9,0.5,0.7,C
0.2,0.5,1.6,0.2,0,0.6,C
1.9,3.4,2.8,2.3,0.7,0.2,SG
0,3.9,3.8,1.1,0.3,0.7,C
1.9,3.7,3.1,2.9,1.2,0.1,SG
1.6,1.3,2.8,1,0.6,0.2,SG
0,2.7,5.1,1,0.5,1.3,C
0,1.7,3.2,0.4,0.2,1,C
1.8,2.2,3.3,1.5,0.5,0.1,SG
0,3.6,4.2,1,0.8,0.6,C
1.2,1.7,2.7,1.2,0.8,0.4,SG
0.5,3.6,5.5,1,0.7,1,C
1.9,2.7,3.4,1.6,0.6,0.2,SG
1.3,4.3,6.8,5,0.8,1.3,C
0,5.2,12.7,1.4,0.9,1.2,C
0.6,6.2,9.8,4.9,0.8,0.8,C
0,5.1,13.8,1.2,0.6,1.7,C
1.5,2.7,4.5,2.2,0.6,0.5,C
1.5,2.9,4,2.2,0.6,0.1,SG
2.4,1.1,2.8,1.6,0.5,0.3,SG
0,3,5.7,0.7,0.5,0.7,C
2.6,4.4,3.4,3,0.9,0.2,SG
1.4,2.8,3.4,2.3,1.1,0.3,SG
0,2.9,6.6,0.6,0.5,1.3,C
1.8,5.6,5.4,2.3,0.5,1.7,C
0,4.7,6.4,1,0.2,1.4,C
0,2.1,4.8,0.6,1.1,0.8,C
2.4,2.2,3.5,2.9,1.1,0.2,SG
2.3,6.3,3.6,3.6,0.9,0.5,SG
0,2.7,3.2,0.2,0.2,0.9,C
1.1,1.9,2.1,0.8,0.5,0.1,SG
1.6,1.3,2.1,1.3,0.9,0.1,SG
0,1.2,4.2,0.2,0.4,0.8,C
1.1,2.8,2.1,2.2,0.7,0.4,SG
0,3.1,4.9,0.8,0.3,0.6,C
1.4,2.2,2.6,2.1,0.6,0.3,SG
1.9,4.3,4.3,2.6,1.2,0.3,SG
0,2.5,3.9,0.9,0.1,0.8,C
0,4.1,7.5,3.5,0.9,1.1,C
2.6,2.5,2.2,1.4,0.7,0.2,SG
0,2.3,4.7,0.4,0.3,0.7,C
1.4,2.4,3.2,2.6,1.1,0.7,SG
1.5,2.9,2.2,2.8,0.6,0.1,SG
1.2,1.4,2.9,1.4,0.8,0.4,SG
1.2,2.2,3.9,4.6,1.6,0.4,SG
2.3,0.7,2.8,1.5,1,0.3,SG
0.5,1.9,3.5,0.5,0.3,0.7,C
1.8,1.3,3.1,1.2,0.7,0.2,SG
1.3,1.7,4.5,0.8,0.3,0.5,C
1.7,1.5,2.8,2.4,0.6,0.4,SG
0,2,5.5,0.5,0,3,C
1.3,1.6,2.8,2.6,1.3,0.4,SG
3.4,4.8,3.7,2.1,0.8,0.5,SG
0,3.4,9.2,1,0.5,1.1,C
1.2,8.5,12.3,2.7,0.7,1.3,C
0.5,5,7.3,1.3,0.9,2.1,C
0,4.9,9.5,0.7,0.5,0.8,C
1.3,0.5,2.6,1.1,0.5,0.1,SG
0.3,6.1,10.4,2.8,1,1,C
0.8,6.2,4.5,3.8,1.4,0.7,SG
1.8,4.3,3.3,4.3,0.9,0.4,SG
0,7,14.1,0.7,0.7,2.1,C
2,3.3,2.5,3,1,0.2,SG
