타임스탬프,직업(WHO),JAVA적용여부,자바ML수강여부,희망수강API,수강사유,(필수아님) 설문조사 접근경로는 어떻게 되시나요?,예상수강 유무
1-26-2020 23:47:38,직장인 (사기업),예,아니오,weka (wekaDeeplearing4j 포함),실무 적용전 테스트 (pilot 포함),복구,yes
1-26-2020 23:48:19,직장인 (사기업),예,예,Deeplearning4j (DL4J),개인적인 관심,복구,yes
1-26-2020 23:48:46,직장인 (사기업),예,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,복구,yes
1-26-2020 23:49:15,직장인 (사기업),예,아니오,Deeplearning4j (DL4J),개인적인 관심,복구,yes
1-26-2020 23:49:36,학생,예,아니오,Deeplearning4j (DL4J),개인적인 관심,복구,yes
1-26-2020 23:49:57,프리렌서,예,아니오,Deeplearning4j (DL4J),개인적인 관심,복구,yes
1-26-2020 23:50:16,직장인 (사기업),예,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,복구,yes
1-26-2020 23:52:53,프리렌서,예,예,MLib,개인적인 관심,복구,no
1-26-2020 23:53:11,직장인 (사기업),예,예,Deeplearning4j (DL4J),실무 적용전 테스트 (pilot 포함),복구,yes
1-26-2020 23:53:32,연구원,아니오,아니오,weka (wekaDeeplearing4j 포함),개인적인 관심,복구,no
1-26-2020 23:53:48,직장인 (사기업),아니오,아니오,Deeplearning4j (DL4J),개인적인 관심,복구,no
1-26-2020 23:54:02,직장인 (사기업),예,아니오,Deeplearning4j (DL4J),실제 업무적용,복구,yes
2-2-2020 20:04:57,연구원,예,아니오,Deeplearning4j (DL4J),실제 업무적용,메일,yes
2-5-2020 6:35:42,취업준비생,아니오,아니오,weka (wekaDeeplearing4j 포함),취업(이직)에 유리,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
2-8-2020 12:06:02,직장인 (사기업),아니오,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,메일,yes
2-8-2020 12:10:27,학생,예,예,Deeplearning4j (DL4J),실제 업무적용,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
2-8-2020 13:23:16,서비스업,아니오,아니오,Deeplearning4j (DL4J),개인적인 관심,블로그,no
2-8-2020 14:51:02,직장인 (사기업),예,예,weka (wekaDeeplearing4j 포함),실제 업무적용,메일,yes
2-8-2020 19:28:49,직장인 (사기업),예,예,weka (wekaDeeplearing4j 포함),개인적인 관심,블로그,yes
2-10-2020 9:09:32,직장인 (사기업),예,아니오,잘모름,실무 적용전 테스트 (pilot 포함),메일,no
2-10-2020 9:19:50,직장인 (사기업),예,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,메일,yes
2-10-2020 9:20:01,직장인 (사기업),예,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,메일,yes
2-10-2020 9:32:00,직장인 (사기업),아니오,예,weka (wekaDeeplearing4j 포함),개인적인 관심,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
2-10-2020 11:24:02,직장인 (사기업),예,아니오,java ml 은 수강예정없습니다.,java ml 은 수강예정없습니다.,메일,no
2-12-2020 15:12:34,직장인 (사기업),예,예,weka (wekaDeeplearing4j 포함),개인적인 관심,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
2-16-2020 21:08:43,학생,예,아니오,weka (wekaDeeplearing4j 포함),취업(이직)에 유리,메일,yes
2-19-2020 9:33:04,직장인 (사기업),예,예,Deeplearning4j (DL4J),실무 적용전 테스트 (pilot 포함),"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
3-2-2020 16:50:44,학생,예,아니오,Deeplearning4j (DL4J),취업(이직)에 유리,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
3-24-2020 21:40:25,학생,아니오,예,Deeplearning4j (DL4J),실제 업무적용,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
4-13-2020 0:55:38,직장인 (사기업),아니오,아니오,파이썬 ,실제 업무적용,메일,no
4-13-2020 9:19:36,프리렌서,예,예,Deeplearning4j (DL4J),실제 업무적용,메일,yes
4-14-2020 9:01:57,직장인 (사기업),아니오,예,Deeplearning4j (DL4J),개인적인 관심,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
4-17-2020 10:31:21,프리렌서,예,예,Deeplearning4j (DL4J),개인적인 관심,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
4-17-2020 11:19:12,프리렌서,예,예,Deeplearning4j (DL4J),실무 적용전 테스트 (pilot 포함),"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
4-20-2020 10:14:48,직장인 (사기업),예,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
4-23-2020 15:00:50,취업준비생,예,아니오,weka (wekaDeeplearing4j 포함),실제 업무적용,"온라인 강의 플랫폼 (인프런,에듀캐스트 등)",yes
